GO_ID	pValues	interestCount	backgroundCount
GO:0071371	1.0	0	6
GO:0034698	1.0	0	3
GO:0051787	0.7236422578828927	1	18
GO:0032703	0.06076430483831518	4	22
GO:0016798	0.544236266969702	1	11
GO:0090009	0.059115952531713624	2	6
GO:0048646	0.10784166881216065	3	17
GO:0005743	0.9999999999987288	4	506
GO:0031966	0.9999970613611702	2	217
GO:1900029	0.6575506730915142	1	15
GO:1900027	1.0	0	5
GO:0060491	1.0	0	3
GO:0044089	1.0	0	5
GO:0031346	1.0	0	6
GO:0051130	0.6811720512583292	1	16
GO:0061052	0.544236266969702	1	11
GO:0046620	1.0	0	3
GO:0040008	0.059115952531713624	2	6
GO:0046621	1.0	0	5
GO:0045926	0.35505509587685286	2	18
GO:0030308	0.13052422519139648	11	109
GO:0001558	0.25426081638228604	6	62
GO:0010614	0.09338773253926848	3	16
